text_ts	s_r	num_chars	num_words	min_since_prev
2013-02-12 14:17:00	SNT	16	3	0
2013-02-12 14:18:00	RCV	102	17	1
2013-02-12 14:18:00	RCV	23	4	0
2013-02-12 14:25:00	SNT	29	8	7
2013-02-12 14:26:00	SNT	96	13	1
2013-02-12 14:26:00	SNT	4	1	0
2013-02-12 14:26:00	SNT	7	1	0
2013-02-12 14:26:00	SNT	38	8	0
2013-02-12 14:26:00	RCV	23	4	0
2013-02-12 14:27:00	RCV	23	5	1
2013-02-12 14:28:00	RCV	38	7	1
2013-02-12 14:29:00	RCV	13	2	1
2013-02-12 14:29:00	SNT	80	17	0
2013-02-12 14:29:00	SNT	24	4	0
2013-02-12 14:30:00	RCV	13	3	1
2013-02-12 14:30:00	RCV	3	1	0
2013-02-12 14:32:00	SNT	26	7	2
2013-02-12 14:32:00	RCV	44	9	0
2013-02-12 14:33:00	SNT	22	5	1
2013-02-12 14:34:00	SNT	57	12	1
2013-02-12 14:34:00	RCV	98	23	0
2013-02-12 14:35:00	RCV	23	4	1
2013-02-12 14:35:00	RCV	48	9	0
2013-02-12 14:35:00	RCV	4	1	0
2013-02-12 14:35:00	RCV	27	7	0
2013-02-12 14:35:00	SNT	22	4	0
2013-02-12 14:36:00	SNT	32	8	1
2013-02-12 14:36:00	RCV	81	13	0
2013-02-12 14:39:00	SNT	13	2	3
2013-02-12 14:39:00	SNT	15	3	0
2013-02-12 14:39:00	RCV	25	4	0
2013-02-12 14:41:00	SNT	56	13	2
2013-02-12 14:41:00	RCV	26	5	0
2013-02-12 14:47:00	SNT	6	1	6
2013-02-12 14:48:00	RCV	38	6	1
2013-02-12 14:48:00	RCV	13	4	0
2013-02-12 14:51:00	SNT	34	6	3
2013-02-12 14:54:00	RCV	86	12	3
2013-02-12 14:55:00	RCV	188	29	1
2013-02-12 15:00:00	RCV	41	10	5
2013-02-12 15:02:00	SNT	198	34	2
2013-02-12 15:02:00	SNT	16	5	0
2013-02-12 15:02:00	SNT	6	1	0
2013-02-12 15:04:00	RCV	237	42	2
2013-02-12 15:05:00	RCV	113	15	1
2013-02-12 15:06:00	RCV	91	19	1
2013-02-12 15:07:00	RCV	48	10	1
2013-02-12 15:09:00	SNT	55	11	2
2013-02-12 15:11:00	RCV	33	6	2
2013-02-12 15:11:00	RCV	59	11	0
2013-02-12 15:11:00	SNT	31	6	0
2013-02-12 15:14:00	SNT	113	25	3
2013-02-12 15:16:00	RCV	22	4	2
2013-02-12 15:16:00	SNT	113	19	0
2013-02-12 15:18:00	RCV	24	5	2
2013-02-12 15:18:00	SNT	51	10	0
2013-02-12 15:19:00	SNT	61	10	1
2013-02-12 15:20:00	RCV	16	3	1
2013-02-12 15:20:00	RCV	46	9	0
2013-02-12 15:21:00	SNT	76	16	1
2013-02-12 15:21:00	SNT	81	8	0
2013-02-12 15:22:00	SNT	8	1	1
2013-02-12 15:22:00	RCV	102	18	0
2013-02-12 15:23:00	RCV	78	17	1
2013-02-12 15:24:00	SNT	76	14	1
2013-02-12 15:25:00	RCV	33	6	1
2013-02-12 15:25:00	SNT	9	1	0
2013-02-13 09:13:00	SNT	12	3	1068
2013-02-13 09:29:00	RCV	25	5	16
2013-02-13 10:05:00	SNT	149	29	36
2013-02-13 10:05:00	SNT	4	1	0
2013-02-13 10:06:00	RCV	25	6	1
2013-02-13 10:07:00	SNT	74	14	1
2013-02-13 10:07:00	RCV	77	17	0
2013-02-13 10:08:00	RCV	9	2	1
2013-02-13 10:10:00	SNT	108	21	2
2013-02-13 10:10:00	RCV	23	6	0
2013-02-13 10:12:00	SNT	59	10	2
2013-02-13 10:13:00	RCV	70	13	1
2013-02-13 10:15:00	SNT	126	21	2
2013-02-13 10:16:00	RCV	14	2	1
2013-02-13 10:17:00	RCV	117	23	1
2013-02-13 10:35:00	SNT	73	15	18
2013-02-13 10:37:00	RCV	72	12	2
2013-02-13 11:13:00	SNT	57	12	36
2013-02-13 11:14:00	RCV	123	21	1
2013-02-13 11:16:00	RCV	90	18	2
2013-02-13 11:32:00	RCV	102	20	16
2013-02-13 11:32:00	SNT	141	25	0
2013-02-13 11:37:00	RCV	22	4	5
2013-02-13 11:39:00	RCV	51	9	2
2013-02-13 11:51:00	SNT	116	23	12
2013-02-13 11:53:00	SNT	19	2	2
2013-02-13 11:54:00	SNT	120	6	1
2013-02-13 11:55:00	RCV	8	2	1
2013-02-13 12:08:00	SNT	119	21	13
2013-02-13 12:08:00	SNT	44	9	0
2013-02-13 12:11:00	RCV	35	5	3
2013-02-13 12:16:00	SNT	168	34	5
2013-02-13 12:18:00	RCV	70	15	2
2013-02-13 12:31:00	SNT	28	5	13
2013-02-13 12:58:00	SNT	55	10	27
2013-02-13 13:17:00	RCV	44	8	19
2013-02-13 13:22:00	SNT	57	13	5
2013-02-13 13:24:00	SNT	124	24	2
2013-02-13 13:24:00	RCV	15	4	0
2013-02-13 13:25:00	SNT	60	11	1
2013-02-13 13:26:00	SNT	102	21	1
2013-02-13 13:27:00	RCV	28	7	1
2013-02-13 13:27:00	RCV	66	13	0
2013-02-13 13:29:00	SNT	56	10	2
2013-02-13 13:29:00	RCV	40	7	0
2013-02-13 13:29:00	RCV	47	8	0
2013-02-13 13:31:00	RCV	36	5	2
2013-02-13 13:34:00	SNT	146	29	3
2013-02-13 13:35:00	SNT	1	1	1
2013-02-13 13:35:00	RCV	37	6	0
2013-02-13 13:44:00	SNT	57	12	9
2013-02-13 13:44:00	SNT	34	8	0
2013-02-13 13:45:00	RCV	100	21	1
2013-02-13 13:50:00	SNT	214	41	5
2013-02-13 13:53:00	SNT	362	74	3
2013-02-13 13:56:00	RCV	25	5	3
2013-02-13 13:57:00	RCV	9	2	1
2013-02-13 13:57:00	SNT	50	11	0
2013-02-13 13:59:00	SNT	37	8	2
2013-02-13 13:59:00	RCV	7	2	0
2013-02-13 13:59:00	RCV	76	14	0
2013-02-13 14:01:00	RCV	55	8	2
2013-02-13 14:03:00	RCV	49	10	2
2013-02-13 14:07:00	SNT	201	40	4
2013-02-13 14:08:00	SNT	37	7	1
2013-02-13 14:08:00	RCV	28	5	0
2013-02-13 14:08:00	SNT	86	19	0
2013-02-13 14:08:00	SNT	17	3	0
